							중간 고사 성적 일람표
===============================================
  학번    국어    영어    수학    총점    평균
===============================================
2023901 	 95			90   		85    	270 	213.0
20239002	 92			83   		55    	230 	193.0
20239003	 55			77   		82    	214 	159.0
20239004	 75			79   		85    	239 	182.0
20239005	 91			92   		57    	240 	202.0
20239006	 75			74   		87    	236 	178.0
20239007	 83			92   		81    	256 	202.0
20239008	 92			87   		65    	244 	200.0
20239009	 72			76   		83    	231 	175.0
20239010	 88			92   		85    	265 	208.0
20239011	 71			82   		53    	206 	170.0
20239012	 55			76   		88    	219 	160.0
===============================================
